# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=8
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=110970316
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,mu
-20.003,1,0.25,2,3,0,1.6654
-20.003,0,14.3855,1,1,1,1.6654
-20.003,0,2.43117,1,1,1,1.6654
-9.73438,0.727563,0.239791,2,3,0,0.315716
-9.22485,0.97367,0.148915,3,5,0,0.799739
-9.21885,0.89537,0.208131,2,3,0,0.422523
-8.90238,0.980869,0.251064,2,3,0,0.670693
-8.90238,0.102146,0.414706,1,1,0,0.670693
-9.14602,0.997783,0.0448669,4,11,0,0.777652
-9.71364,0.971501,0.0816248,3,5,0,0.901417
-9.75066,0.999486,0.139462,3,7,0,0.907705
-8.95526,1,0.263159,1,1,0,0.704823
-8.95526,0.0332606,0.499467,1,1,0,0.704823
-8.97622,0.999677,0.0457349,2,3,0,0.715329
-8.97622,0.987357,0.0877984,2,3,0,0.715329
-8.86669,0.98983,0.161646,2,3,0,0.601644
-9.10525,0.931098,0.298292,2,3,0,0.455678
-9.10525,0.413299,0.456897,1,1,0,0.455678
-9.22787,0.99573,0.144969,2,3,0,0.420137
-9.02539,1,0.270126,1,1,0,0.484095
-8.86944,1,0.505154,1,1,0,0.629057
-8.86944,4.36726e-17,0.935537,1,1,0,0.629057
-8.89202,0.983447,0.0914634,3,7,0,0.661394
-8.88952,0.988139,0.162242,2,3,0,0.561781
-8.88952,0.349481,0.289003,2,3,0,0.561781
-8.86832,0.999891,0.0822287,3,5,0,0.5949
-9.62733,0.868918,0.150909,2,3,0,0.334472
-10.2269,0.965866,0.189779,2,3,0,0.241511
-11.9048,0.442957,0.311467,1,1,0,0.0592129
-10.0529,0.982047,0.119629,3,7,0,0.265905
-10.9956,0.821241,0.204349,1,1,0,0.148968
-10.2362,1,0.223557,1,1,0,0.240257
-10.4114,0.957351,0.395259,2,3,0,1.00336
-10.4114,1.02168e-06,0.617805,2,3,1,1.00336
-9.30494,0.998439,0.0758068,4,11,0,0.400865
-9.50045,0.982902,0.132788,1,1,0,0.358503
-10.6692,0.750869,0.221378,1,1,0,0.185799
-8.87748,1,0.200804,2,3,0,0.576371
-9.79046,0.579044,0.345877,1,1,0,0.306353
-9.13875,0.998433,0.202036,3,7,0,0.775466
-9.04882,1,0.343701,1,1,0,0.745538
-8.87391,1,0.582317,1,1,0,0.582095
-8.87391,3.06938e-06,0.978882,1,1,0,0.582095
-9.0081,0.963453,0.137507,2,3,0,0.729538
-9.62346,0.88171,0.211872,2,3,0,0.8855
-8.87482,0.871364,0.265767,2,3,0,0.640146
-9.71883,0.761237,0.324048,2,3,0,0.318367
-9.3281,1,0.30229,1,1,0,0.395411
-9.3281,0.0252119,0.499262,1,1,0,0.395411
-8.95392,0.97855,0.081038,3,7,0,0.704115
-8.93709,1,0.127478,1,1,0,0.694672
-8.86594,0.998524,0.20957,2,3,0,0.60954
-8.86805,0.998773,0.341073,1,1,0,0.62488
-8.86805,0.0898082,0.551861,1,1,0,0.62488
-8.86893,0.999959,0.110047,2,3,0,0.627639
-8.90106,0.986662,0.178688,2,3,0,0.669592
-8.92393,0.997028,0.27979,2,3,0,0.534202
-8.95635,0.968264,0.445921,1,1,0,0.705401
-8.99213,0.308953,0.662496,2,3,0,0.498029
-9.5509,0.823722,0.225679,2,3,0,0.871991
-8.87656,1,0.243286,2,3,0,0.642926
-9.23347,0.766281,0.386135,1,1,0,0.418674
-9.01955,1,0.365562,1,1,0,0.486425
-9.01955,0.0297016,0.575632,1,1,0,0.486425
-9.2226,0.94555,0.110639,3,7,0,0.799144
-9.47064,0.970557,0.155192,1,1,0,0.856182
-8.90378,1,0.228746,2,3,0,0.548836
-8.90378,0.370884,0.35736,1,1,0,0.548836
-8.91743,0.99979,0.146889,3,7,0,0.68208
-8.88534,1,0.22877,1,1,0,0.654379
-8.88534,0.15281,0.354722,1,1,0,0.654379
-9.11711,0.992526,0.0939334,3,7,0,0.768783
-9.19997,0.990038,0.143395,2,3,0,0.793058
-8.8714,0.997664,0.216799,2,3,0,0.633717
-8.86934,0.999389,0.331487,2,3,0,0.591889
-8.86934,0.148172,0.506382,1,1,0,0.591889
-8.89164,0.998458,0.137123,3,7,0,0.661029
-8.91205,0.995548,0.209079,1,1,0,0.678227
-8.90959,0.82615,0.315582,2,3,0,0.544278
-8.86593,1,0.338203,1,1,0,0.610433
-8.86593,0.0258311,0.511664,1,1,0,0.610433
-8.8671,0.999941,0.112246,3,7,0,0.621147
-8.96848,0.977387,0.169994,2,3,0,0.509096
-8.89732,0.773533,0.245333,2,3,0,0.554327
-10.5763,0.665759,0.237084,2,3,0,0.196879
-8.87776,1,0.185912,2,3,0,0.644711
-9.09776,0.937562,0.278678,2,3,0,0.458117
-9.14036,0.791387,0.369068,2,3,0,0.444722
-9.01189,0.99892,0.368501,2,3,0,0.73112
-9.01189,0.0297673,0.546419,1,1,0,0.73112
-9.05898,0.998709,0.12837,2,3,0,0.749242
-9.02695,1,0.190473,1,1,0,0.737198
-8.87061,0.903904,0.282307,2,3,0,0.588714
-9.99715,0.50478,0.348294,1,1,0,0.274086
-8.90475,0.983767,0.203785,2,3,0,0.548048
-8.96237,0.975816,0.291446,1,1,0,0.512161
-8.96237,0.623134,0.409465,1,1,0,0.512161
-8.87452,0.458764,0.299668,2,3,0,0.581045
-8.8695,0.998442,0.162669,2,3,0,0.591465
-9.40238,0.866227,0.237704,2,3,0,0.841892
-9.40238,0.0217345,4.3562,1,1,0,0.841892
-9.40238,0,10.582,1,1,1,0.841892
-9.36303,1,1.05567,3,7,0,0.833238
-8.87783,0.994493,1.10686,3,7,0,0.575855
-8.87031,1,1.4799,3,7,0,0.589424
-9.0026,0.956215,2.31901,2,3,0,0.493464
-9.0026,0.0115163,3.45671,1,1,0,0.493464
-8.91326,0.995458,0.284795,5,19,0,0.679115
-8.87168,0.999794,0.501436,4,11,0,0.586382
-8.89816,0.99755,0.922247,3,7,0,0.66709
-9.03935,0.963124,1.71329,2,3,0,0.741991
-9.86471,0.560428,2.87871,1,1,0,0.926292
-10.0403,0.972681,1.36488,1,1,0,0.952947
-10.6499,0.746234,2.3816,1,1,0,1.0326
-9.00179,0.902284,2.04641,2,3,0,0.493811
-9.0125,0.992585,2.86418,1,1,0,0.489302
-9.0125,0.000144777,5.27885,1,1,0,0.489302
-8.86593,0.998904,0.466008,3,7,0,0.610452
-8.86729,0.999779,0.881988,3,5,0,0.598716
-8.87722,0.847344,1.65911,2,3,0,0.576754
-9.3824,0.868933,1.96266,2,3,0,0.83754
-8.88196,1,2.4695,1,1,0,0.650363
-8.88196,0.00108726,4.54751,1,1,0,0.650363
-8.99342,0.996396,0.454624,4,11,0,0.497454
-8.97905,0.988762,0.83246,3,7,0,0.716666
-8.90803,0.972489,1.47661,3,7,0,0.545474
-8.90803,0.0739641,2.47743,1,1,0,0.545474
-9.38707,0.99717,0.330327,4,15,0,0.838564
-8.87384,0.997128,0.596123,3,5,0,0.582233
-9.26214,0.938405,1.06514,2,3,0,0.411337
-10.2747,0.654219,1.60491,2,3,0,0.985578
-11.0935,0.972709,1.11005,2,3,0,1.08219
-9.885,1,1.82156,1,1,0,0.929485
-9.21783,1,3.18936,1,1,0,0.79788
-9.21783,1.55356e-17,5.53395,1,1,0,0.79788
-9.35724,0.991765,0.686468,2,3,0,0.831937
-9.18973,1,1.16964,1,1,0,0.790234
-9.46132,0.910545,2.01881,1,1,0,0.854282
-8.87158,1,2.74578,1,1,0,0.586583
-8.87158,0.0337768,4.66867,1,1,0,0.586583
-9.57979,0.965836,0.683348,3,7,0,0.877452
-8.91186,0.884238,1.0688,2,3,0,0.542588
-8.87104,0.993029,1.3549,2,3,0,0.632917
-8.87104,0.311966,2.2402,2,3,0,0.632917
-8.93565,0.99571,0.689951,3,7,0,0.526865
-8.96033,0.999088,1.14528,2,3,0,0.513206
-8.87231,0.995758,1.9029,2,3,0,0.635581
-9.22853,0.746427,3.11412,1,1,0,0.800708
-9.22853,0.716035,2.7899,1,1,0,0.800708
-9.22853,0.34446,2.32879,1,1,0,0.800708
-9.22853,0.0398632,3.24625,1,1,0,0.800708
-9.22853,4.16548e-145,8.15001,2,2,1,0.800708
-9.2484,0.998322,0.821033,1,1,0,0.805856
-9.2484,0.817947,0.861799,2,3,0,0.805856
-9.20951,1,0.698001,1,1,0,0.795648
-11.1812,0.85449,1.07222,3,7,0,0.129285
-10.3848,1,1.15553,2,3,0,0.220706
-9.90703,1,2.03759,1,1,0,0.287757
-9.90703,6.10162e-13,3.71947,1,1,0,0.287757
-9.74838,0.99965,0.294284,3,7,0,0.313352
-8.88058,0.9818,0.549696,3,7,0,0.648591
-8.86861,0.996714,0.980675,2,3,0,0.593978
-9.26461,0.886853,1.84137,2,3,0,0.809957
-8.88242,1,2.44856,1,1,0,0.569746
-8.88242,4.06099e-11,4.63345,1,1,0,0.569746
-8.87045,0.999556,0.39332,3,7,0,0.5891
-8.86968,1,0.749355,3,7,0,0.590977
-8.92452,0.988437,1.41932,2,3,0,0.533815
-8.86595,1,2.57413,1,1,0,0.61173
-8.86595,0.000252124,4.79262,1,1,0,0.61173
-9.24228,0.994203,0.448618,4,9,0,0.804286
-8.88073,0.977341,0.825613,2,3,0,0.648792
-8.90333,0.775751,1.4323,2,3,0,0.549203
-8.98689,0.980514,1.37075,1,1,0,0.500384
-14.2057,0.0254399,2.36924,1,1,0,-0.120216
-12.3645,0.999947,0.264979,3,7,0,0.0189952
-12.205,0.996418,0.486405,2,3,0,0.0326352
-10.6424,1,0.875158,3,7,0,1.03171
-8.87853,1,1.57488,2,3,0,0.645818
-9.61207,0.484782,2.8064,1,1,0,0.883424
-9.18939,1,1.20809,1,1,0,0.79014
-8.88401,0.991379,2.13706,2,3,0,0.652836
-9.11263,0.681373,3.65918,1,1,0,0.767362
-9.11263,0.345081,2.71282,1,1,0,0.767362
-9.09029,1,0.828772,1,1,0,0.760086
-8.86605,1,1.44371,2,3,0,0.613748
-8.86605,0.0613494,2.49285,1,1,0,0.613748
-8.88195,0.999382,0.375858,3,7,0,0.650345
-8.94377,0.968268,0.649115,3,7,0,0.69854
-8.94746,0.993687,1.02686,3,7,0,0.700603
-9.06621,0.983562,1.72023,2,3,0,0.468854
-9.06621,0.207136,2.78768,1,1,0,0.468854
-9.04391,1,0.647566,2,3,0,0.476962
-9.36618,0.839166,1.09283,2,3,0,0.833943
-9.31561,1,1.23283,1,1,0,0.822339
-8.9715,1,2.05518,2,3,0,0.713058
-9.3245,0.599421,3.40127,1,1,0,0.39625
-9.07199,0.900144,2.13245,2,3,0,0.753849
-9.07199,0.0497765,2.75977,1,1,0,0.753849
-9.60944,0.991028,0.473134,4,9,0,0.337733
-9.4482,1,0.763488,1,1,0,0.369095
-9.08958,1,1.25008,2,3,0,0.460826
-9.08958,0.263787,2.03339,1,1,0,0.460826
-8.86683,0.974207,0.599489,3,5,0,0.619801
-9.04894,0.960604,0.917452,2,3,0,0.47509
-9.46615,0.969544,1.35368,2,3,0,0.365405
-9.17523,1,2.02815,1,1,0,0.434514
-9.08528,1,3.23803,1,1,0,0.46227
-9.08528,2.71636e-22,5.1398,1,1,0,0.46227
-9.19256,0.989749,0.875464,1,1,0,0.429655
-8.97684,1,1.36138,1,1,0,0.505053
-8.97684,0.0382437,2.1538,1,1,0,0.505053
-9.02727,0.998531,0.413516,2,3,0,0.483352
-9.068,0.997825,0.653029,1,1,0,0.468222
-9.13171,0.991659,1.02421,1,1,0,0.447351
-8.87114,1,1.57699,2,3,0,0.587524
-8.87114,0.116525,2.45967,1,1,0,0.587524
-9.21775,0.986812,0.583448,3,5,0,0.422816
-9.4863,0.982988,0.885347,3,5,0,0.859346
